"","","Agriculture","Mining","Manufacturing","Utility_services","Construction","Trade","Information","Financial","Real_estate","Dwellings","Other_business_services","Public_administration","Entertainment","Consumption"
"Global","TOTAL DOMESTIC FINAL USE (CLIMATE FOOTPRINT)","9416203","7322704","15399344","17412720","1625737","9167485","222811","130399","36911","96670","599640","740314","288140","62459078"
"","HOUSEHOLD CONSUMPTION EXPENDITURE TOTAL","8537122","3852126","6797745","10521073","211295","5671873","102456","91603","14751","92039","257175","60530","154526","36364314"
"","A Food","5382906","333475","983877","785383","9745","545463","7392","6651","1058","586","26208","2584","6234","8091562"
"","B Beverages and tobacco","492299","139755","390708","319072","3484","213026","3147","2663","456","277","10198","1067","2815","1578967"
"","C Clothing and footwear","193690","192842","480547","422782","4700","224785","3232","2928","583","323","9725","1047","6174","1543358"
"","D Housing","57606","262008","887785","1175431","127783","296702","6736","14163","4487","86914","29847","2135","3892","2955489"
"","E Electricity, gas and other fuels","3703","456672","270681","4241339","5867","114431","1901","1284","173","123","8493","745","1402","5106814"
"","F Furnishings, household equipment and routine household maintenance","87152","248871","522697","534880","5631","268963","5448","3082","765","428","20867","1526","21191","1721501"
"","G Medical products, health services","51473","141414","323840","228392","2480","94291","2008","1013","270","146","7010","13274","1492","867103"
"","H Purchase of vehicles","37923","147743","321378","351553","2028","166739","3027","2125","394","334","9292","1275","3932","1047743"
"","I Other transport and communication","163272","1219977","1180884","688907","16380","1773280","16099","5999","910","588","45798","4154","12888","5129136"
"","J Recreation and culture","1043829","382663","672757","811155","12493","1441058","39678","7153","2344","1154","54119","4151","56227","4528781"
"","K Other goods and services","1023268","326705","762592","962179","20705","533135","13788","44542","3312","1164","35618","28572","38279","3793859"
"","NON-PROFIT INSTITUTIONS SERVING HOUSEHOLDS (NPISH)","41918","37473","74466","136879","3787","87021","2743","557","199","65","7237","18252","15258","425855"
"","GOVERNMENT CONSUMPTION","360895","1031207","2166444","2522196","83000","1424235","40560","11273","3117","1336","142545","628094","51567","8466469"
"","GROSS CAPITAL FORMATION ETC.","476268","2401898","6360689","4232573","1327655","1984356","77052","26966","18845","3231","192685","33439","66789","17202446"
"Denmark","TOTAL DOMESTIC FINAL USE (CLIMATE FOOTPRINT)","3123666","504965","2755994","8225331","1544716","4433396","54260","42130","24524","84283","275668","702831","133705","21905469"
"","HOUSEHOLD CONSUMPTION EXPENDITURE TOTAL","3428903","346895","1083945","5957721","185918","2722111","25814","35577","6958","84246","103676","43434","69178","14094376"
"","A Food","2666554","16469","216059","234738","7083","271654","979","739","472","0","9150","588","596","3425081"
"","B Beverages and tobacco","113773","3577","42684","53594","2277","96979","368","150","179","0","2835","212","170","316798"
"","C Clothing and footwear","10113","2672","12414","53099","3096","95917","421","169","260","0","3305","251","1748","183465"
"","D Housing","-8116","21766","390632","877543","124635","157413","1439","10195","1789","84216","20111","963","644","1683230"
"","E Electricity, gas and other fuels","-42887","112316","24886","3895947","4589","46840","323","268","50","0","5000","289","269","4047890"
"","F Furnishings, household equipment and routine household maintenance","3173","4825","26833","82690","4166","142582","602","249","336","0","11587","387","3659","281089"
"","G Medical products, health services","3738","1764","8180","51797","1841","46595","288","90","124","0","2515","12213","242","129387"
"","H Purchase of vehicles","1460","2360","5160","19193","795","85780","152","134","59","0","788","76","52","116009"
"","I Other transport and communication","31956","150445","215665","151635","12021","1012175","7090","1033","337","16","11673","2263","4200","1600509"
"","J Recreation and culture","319601","17300","48572","205484","8266","493821","11417","537","1204","15","19617","1346","33951","1161131"
"","K Other goods and services","329538","13401","92860","332002","17150","272356","2735","22013","2148","0","17095","24844","23647","1149789"
"","NON-PROFIT INSTITUTIONS SERVING HOUSEHOLDS (NPISH)","14599","2821","13233","88264","3469","50879","700","118","134","0","4700","18004","14471","211392"
"","GOVERNMENT CONSUMPTION","-172058","46650","218679","1262444","72742","769356","11743","2313","1781","0","93719","621070","37828","2966267"
"","GROSS CAPITAL FORMATION ETC.","-147778","108598","1440138","916902","1282587","891050","16003","4123","15650","36","73573","20323","12228","4633433"
"Rest of World","TOTAL DOMESTIC FINAL USE (CLIMATE FOOTPRINT)","6292536","6817740","12643349","9187389","81021","4734088","168552","88269","12388","12388","323972","37484","154435","40553611"
"","HOUSEHOLD CONSUMPTION EXPENDITURE TOTAL","5108219","3505231","5713801","4563351","25377","2949761","76642","56026","7792","7792","153498","17096","85348","22269934"
"","A Food","2716352","317007","767818","550645","2662","273810","6413","5912","586","586","17058","1995","5638","4666482"
